Ancien nom;Libellé;Code;Type;Description /role;OS;VLAN;Adresse IP;Adresse IP2;Adresse IP3;Adresse IP4;Adresse IP5;Adresse IP6;Adresse IP7;Adresse IP8;Adresse IP9;Adresse IP10;Adresse IP11;Virtualisation;Cluster;Site d'hébergement;Statut;Version Oracle;Supervisé;Type Serveur;Service BDD ;1_Code Appli;2_Libellé Appli
srv-prd-tsgru;SRV-PRD-TSGRU;SRVP0214;Serveur Virtuel;GRU - serveur téléservices;Linux Centos 7 (64b);VLAN72 SI;172.16.21.37;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL038;CAPDEMAT
srv-prd-tsqlgru;SRV-PRD-TSQLGRU;SRVP0215;Serveur Virtuel;GRU - BDD téléservices;Linux Centos 7 (64b);VLAN72 SI;172.16.21.38;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL038;CAPDEMAT
srv-app-bdddmz;SRV-APP-BDDDMZ;SRVP0006;Serveur Virtuel;BDD sarthe lecture;Microsoft Windows Server 2003 (32b);DMZ;192.168.222.51;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRD;MSSQL;à créer;SITE SARTHE LECTURE?
srv-app-gtb01;SRV-APP-GTB01;SRVP0007;Serveur Virtuel;Application GTB;Microsoft Windows 7 (64b);DMZ;192.168.222.41;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Non;PRD;;;
srv-prod-sql01;SRV-PROD-SQL01;SRVP0220;Serveur Virtuel;BDD mutu ?;Linux Centos 7 (64b);VLAN72 SI;172.16.21.33;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;
srv-preprod-services1;SRV-PREPROD-SERVICES1;SRVR0001;Serveur Virtuel;;Linux Centos 7 (64b);DMZ;192.168.222.31;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRE;;;
srv-tst-web04;SRV-TST-WEB04;SRVR0004;Serveur Virtuel;;Linux Centos 7 (64b);DMZ;192.168.222.194;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;TST;;;
srv-preprod-sql01;SRV-PREPROD-SQL01;SRVR0102;Serveur Virtuel;;Linux Centos 7 (64b);VLAN72 SI;172.16.22.22;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRE;;;
srv-prd-gpda(26012021);SRV-PRD-GPDA(26012021);SRVP0012;Serveur Virtuel;application GPDA;Microsoft Windows Server 2016 (64b);DMZ;192.168.222.46;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRD;;APPL305;SOLIS - GPDA
srv-prd-num;SRV-PRD-NUM;SRVP0013;Serveur Virtuel;FTPS numerisation CANON;Microsoft Windows Server 2016 (64b);DMZ;192.168.222.44;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRD;;;à rattacher à la GED?
srv-rec-iparaph;SRV-REC-IPARAPH;SRVR0108;Serveur Virtuel;;Linux Centos 7 (64b);VLAN72 SI;172.16.22.25;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;TST;;;
srv-app-gtb02;SRV-APP-GTB02;SRVP0015;Serveur Virtuel;Application GTB;Microsoft Windows 7 (64b);DMZ;192.168.222.42;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Non;PRD;;;
srv-dom-dmz16;SRV-DOM-DMZ16;SRVP0016;Serveur Virtuel;Controleur de domaine AD domaine DMZ;Microsoft Windows Server 2016 (64b);DMZ;192.168.222.131;192.168.222.130;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRD;;APPL273;Active Directory
